,name,r_h_mean,r_h_min,r_h_max,r_h_std,r_h_mad
61,"М1 0,8 + М1 0,8 (II)",0.22654496476589284,0.14117647058823532,0.29874125931453555,0.03397838415799367,0.027751808386422914
62,"М1 0,8 + М1 0,8 (III)",0.24664074859553847,0.170873786407767,0.35534226746012576,0.03824972810780221,0.030245668550940845
63,"М1 0,8 + М1 0,8 (IV)",0.23910129146293482,0.17094017094017094,0.32542372881355935,0.032638739651220904,0.026625263884050187
64,"ОТ4-1 0,5 + ОТ4-1 0,5 (I)",1.8077335904576204,1.351615012830941,1.9666754845606407,0.10610143835005975,0.08365530996653925
65,"ОТ4-1 0,5 + ОТ4-1 0,5 (II)",1.7768681849471526,1.4298245614035088,1.9795816150428618,0.10625887918209516,0.08627630898395325
66,"ОТ4-1 0,5 + ОТ4-1 0,5 (III)",1.8664751295922815,1.3911290322580643,2.0207022149721507,0.10719276307206721,0.08014203670068064
67,"ОТ4-1 0,5 + ОТ4-1 0,5 (IV)",1.5362646353729223,1.315223665223665,1.7205152403916741,0.10236984291965998,0.08574334241115597
68,"ОТ4-1 0,5 + Э110 0,5 (I)",1.2742527614600514,1.0975205975005247,1.4901960784313726,0.0820260513092434,0.06651073970861247
69,"ОТ4-1 0,5 + Э110 0,5 (II)",1.4036867372043043,1.2583843244627901,1.5083580632516118,0.048073194641936136,0.03922805491693846
70,"ОТ4-1 0,5 + Э110 0,5 (III)",1.5503359532033523,1.3854943314447077,1.7361998346244683,0.05567279250989553,0.04184016095757417
71,"ОТ4-1 0,5 + Э110 0,5 (IV)",1.503426346171836,1.379901274898317,1.6643442531922652,0.0455852269072776,0.035617061474582455
72,"Э110 0,5 + Э110 0,5 (I)",1.3608364550543803,1.2618130803333973,1.4615384615384617,0.04519393687583885,0.038365127505733586
73,"Э110 0,5 + Э110 0,5 (II)",1.3344308491122545,1.2136752136752136,1.4604776448590968,0.0394947253819601,0.0295142008957394
74,"Э110 0,5 + Э110 0,5 (III)",1.1581677481864177,0.988879235405133,1.2815533980582525,0.047392199175663736,0.037581433576272374
75,"Э110 0,5 + Э110 0,5 (IV)",1.2848699731173863,1.1794871794871793,1.3868271580773408,0.04203927349836008,0.03362080341207587
76,"Э110 0,5 + Э110 0,8 (I)",1.2364216243073023,1.085088468739388,1.4368932038834952,0.06695829235095684,0.05229176063497873
77,"Э110 0,5 + Э110 0,8 (II)",1.260112039857704,1.1458799983897943,1.4176457365796793,0.059382590215687675,0.04582041164553911
78,"Э110 0,5 + Э110 0,8 (III)",1.4278029582472975,1.307692307692308,1.5922330097087376,0.04903450814281047,0.03759536596607798
79,"Э110 0,5 + Э110 0,8 (IV)",1.2974896166062984,1.1364357098401416,1.4658422914468932,0.08446476518858284,0.07275892521873
80,"Э110 0,8 + Э110 0,8 (I)",1.1952073991636922,1.0738842341212524,1.372549019607843,0.06085947103858417,0.048034448327904045
81,"Э110 0,8 + Э110 0,8 (II)",1.2095368566406683,1.0706879269654441,1.4577561880188539,0.05041139137059602,0.03709844552137451
82,"Э110 0,8 + Э110 0,8 (III)",1.3521492114719587,1.237543027398212,1.6273967808961427,0.053357902089602116,0.040188378655758666
83,"Э110 0,8 + Э110 0,8 (IV)",1.264712677599825,1.13127466704838,1.4146064957194042,0.05624189685239378,0.04332774022860731
